style,ISc2,GC_S,GC_P,GC_C,gender,age,birth,ethnic,religion,school,class,major,firstlang,secondlang,intl_travel,s_abroad,travel,studyabroad
1,100,28,25,44,F,TRAD,NON-US,NON-WHITE,Non-Christian,6,Undergraduate,SpEd,ENGLISH,2,5,,Eight_plus,0
1,76,10,15,21,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,100,25,24,35,F,NON-TRAD,NON-US,NON-WHITE,Christian,6,Undergraduate,Eled,NON-ENGLISH,2,2,,Once,0
1,99,21,22,43,F,NON-TRAD,NON-US,NON-WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,4,,FiveSeven,0
1,85,17,22,35,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,92,19,21,38,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,67,19,18,27,M,TRAD,US,NON-WHITE,,6,Undergraduate,Eled,NON-ENGLISH,2,1,,Never,0
1,102,24,28,41,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,109,23,26,47,M,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,1,,Never,0
1,86,22,22,32,F,TRAD,US,WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,4,,FiveSeven,0
1,66,13,24,19,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,5,,Eight_plus,0
1,84,17,25,33,F,NON-TRAD,US,WHITE,Non-Christian,10,Graduate,Other,ENGLISH,2,2,1,Once,1
1,93,21,23,34,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,1,TwoFour,1
1,83,20,23,43,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,76,17,22,33,F,NON-TRAD,US,WHITE,Non-Christian,6,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,91,28,27,44,M,NON-TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,2,3,,TwoFour,0
1,88,24,24,45,F,NON-TRAD,NON-US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,2,5,,Eight_plus,0
